d,delta_min,seed,lambda_min_analytic,lambda_min_fd,T_esc,zeta_eff,T_esc_pred
3,0.001,0,-0.0011276510759797237,4.82808779622701e-07,499,0.00046341769281245767,574017.0075493038
3,0.001,1,-0.0006994448022362354,4.82808779622701e-07,499,0.00034643789298864717,967029.0165089412
3,0.001,2,-0.0028689027093681554,4.82808779622701e-07,499,8.758797626580261e-05,283693.6225051991
3,0.001,3,-0.00022779095361038983,4.82808779622701e-07,499,0.0008733046438122185,2563426.336357046
3,0.001,4,-0.0029266284182351394,4.82808779622701e-07,499,0.0005656663894322456,214360.43018257862
3,0.0031622776601683794,0,-0.04449236111336827,-2.7613274724558323e-06,499,0.0005425600435859593,14193.984847950956
3,0.0031622776601683794,1,-0.04449236111336827,-2.7613274724558323e-06,499,0.0004392148568676297,14668.920402477968
3,0.0031622776601683794,2,-0.04449236111336827,-2.7613274724558323e-06,499,0.0005554716366546441,14141.124560591918
3,0.0031622776601683794,3,-0.04449236111336827,-2.7613274724558323e-06,499,0.0009351055438849006,12970.492473652961
3,0.0031622776601683794,4,-0.04449236111336827,-2.7613274724558323e-06,499,0.0008573010829735805,13165.739979029368
3,0.01,0,-0.14090441220666808,-4.607862308603223e-06,499,0.0005425600435859593,4481.931329208055
3,0.01,1,-0.14090441220666808,-4.607862308603223e-06,499,0.0004392148568676297,4631.898273937934
3,0.01,2,-0.14090441220666808,-4.607862308603223e-06,499,0.0005554716366546441,4465.240020845864
3,0.01,3,-0.14090441220666808,-4.607862308603223e-06,499,0.0009351055438849006,4095.5980435130973
3,0.01,4,-0.14090441220666808,-4.607862308603223e-06,499,0.0008573010829735805,4157.249927791568
3,0.03162277660168379,0,-0.4476606293269444,-2.27682708882071e-05,499,0.0005425600435859593,1410.720215539626
3,0.03162277660168379,1,-0.4476606293269444,-2.27682708882071e-05,499,0.0004392148568676297,1457.9233931551423
3,0.03162277660168379,2,-0.4476606293269444,-2.27682708882071e-05,499,0.0005554716366546441,1405.4665058326302
3,0.03162277660168379,3,-0.4476606293269444,-2.27682708882071e-05,499,0.0009351055438849006,1289.11902711579
3,0.03162277660168379,4,-0.4476606293269444,-2.27682708882071e-05,499,0.0008573010829735805,1308.5244024081233
3,0.1,0,-1.4367532102722826,-1.7347584542193317e-05,499,0.0005425600435859593,439.54932202520007
3,0.1,1,-1.4367532102722826,-1.7347584542193317e-05,499,0.0004392148568676297,454.2567916494294
3,0.1,2,-1.4367532102722826,-1.7347584542193317e-05,499,0.0005554716366546441,437.9123818903741
3,0.1,3,-1.4367532102722826,-1.7347584542193317e-05,499,0.0009351055438849006,401.6610722217405
3,0.1,4,-1.4367532102722826,-1.7347584542193317e-05,499,0.0008573010829735805,407.70735940146085
4,0.001,0,-0.014063176910509418,2.033937860801416e-06,499,0.0005622875292409671,44652.24647794386
